bench-name,cpp-time,cpp-memo,mvs-time,mvs-memo,swift-time,swift-memo,scala-time,scala-memo
gen190,2036785.0,0.0,1463168.0,0.0,1534800.5,0.0,4684103.5,0.0
gen192,82488.5,0.0,244992.0,0.0,275452.5,0.0,2425168.5,0.0
gen193,328016124.5,0.0,55488384.0,0.0,28048390.5,0.0,18964192.5,0.0
gen194,2858836.0,0.0,1219712.0,0.0,1256699.0,0.0,2400315.5,0.0
gen195,27463338.0,0.0,919168.0,0.0,1326.5,0.0,9165.0,0.0
gen196,11808435.0,0.0,331392.0,0.0,267283.0,0.0,381934.5,0.0
gen197,4902456.0,0.0,3799296.0,0.0,4611568.0,0.0,4639938.5,0.0
gen199,12161597.0,0.0,3465216.0,0.0,2962846.0,0.0,2769998.5,0.0
gen200,768361.5,0.0,277120.0,0.0,236352.5,0.0,428495.0,0.0
gen201,99189026.5,0.0,39575808.0,0.0,16105133.0,0.0,13579833.0,0.0
gen202,105191121.0,0.0,25804800.0,0.0,7525198.0,0.0,7731868.0,0.0
gen203,6267695.5,0.0,4243328.0,0.0,4568306.5,0.0,5517335.0,0.0
gen204,71774739.0,0.0,24986368.0,0.0,15085319.5,0.0,11257093.0,0.0
gen205,34442474.5,0.0,4815104.0,0.0,1350334.5,0.0,2843492.5,0.0
gen206,80613803.5,0.0,22477312.0,0.0,8514902.5,0.0,5526394.0,0.0
gen207,24243147.5,0.0,336000.0,0.0,1305.5,0.0,22366.5,0.0
gen208,25381836.0,0.0,5157376.0,0.0,4674.5,0.0,45226.0,0.0
gen209,210269.5,0.0,465408.0,0.0,474047.0,0.0,2126188.5,0.0
gen210,96373374.0,0.0,46905216.0,0.0,32370883.5,0.0,22343094.0,0.0
gen212,1859570.0,0.0,1077888.0,0.0,671517.5,0.0,2261962.0,0.0
gen213,426559.0,0.0,256.0,0.0,1216.5,0.0,1036865.0,0.0
gen214,127034136.0,0.0,36009088.0,0.0,19266975.0,0.0,15029781.0,0.0
gen215,39860.5,0.0,256.0,0.0,1194.5,0.0,423004.5,0.0
gen216,75088117.5,0.0,7154048.0,0.0,5901540.5,0.0,4402425.5,0.0
gen217,4032842.5,0.0,4094976.0,0.0,4056018.0,0.0,4978174.5,0.0
gen218,15015700.5,0.0,3320320.0,0.0,771444.5,0.0,2413787.0,0.0
gen219,2335781.0,0.0,560896.0,0.0,1231.0,0.0,673752.5,0.0
gen220,48140649.0,0.0,2479744.0,0.0,3601892.0,0.0,965583.5,0.0
gen221,35322278.0,0.0,8828928.0,0.0,7329314.0,0.0,8058910.5,0.0
gen222,160179.5,0.0,459776.0,0.0,549469.0,0.0,2746229.0,0.0
